"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj015",1,1,"ink_naming_incong","blue","blue",1333,"223.233.184.201",3.1552781816572,-116.850581746548,"Chrome","Windows","900x282","Desktop","Agent1464",5635,0,0
"subj015",1,2,"word_reading_incong","red","red",16,"196.98.123.161",-72.5805269507691,-149.395752567798,"Chrome","Windows","720x385","Desktop","Agent3227",8131,0,0
"subj015",1,3,"word_reading_incong","green","green",806,"204.249.82.130",41.3199480436742,120.501053044572,"Chrome","Windows","1013x281","Desktop","Agent6130",6459,0,0
"subj015",1,4,"word_reading_incong","red","red",685,"214.157.151.124",-38.0121884588152,22.221491234377,"Chrome","Windows","194x465","Desktop","Agent8380",7792,0,0
"subj015",1,5,"word_reading_cong","yellow","yellow",668,"192.246.223.169",-73.6528968717903,124.303995268419,"Chrome","Windows","152x293","Desktop","Agent7257",2410,0,0
"subj015",1,6,"word_reading_cong","blue","blue",695,"194.115.180.41",-42.6128739165142,150.98272302188,"Chrome","Windows","498x70","Desktop","Agent6427",3129,0,0
"subj015",1,7,"ink_naming_incong","green","green",1211,"195.99.172.119",67.8456116002053,-101.487756790593,"Chrome","Windows","100x200","Desktop","Agent7276",9751,0,0
"subj015",1,8,"ink_naming_incong","red","red",1022,"208.159.84.119",59.7042847238481,-175.472858240828,"Chrome","Windows","491x548","Desktop","Agent2534",5975,0,0
"subj015",1,9,"ink_naming_incong","blue","blue",1064,"219.148.106.107",-33.7938806880265,-158.047129735351,"Chrome","Windows","354x396","Desktop","Agent2741",751,0,0
"subj015",1,10,"word_reading_cong","green","green",744,"198.243.126.39",21.2264837650582,-53.1796676293015,"Chrome","Windows","234x233","Desktop","Agent2945",2021,0,0
"subj015",1,11,"word_reading_cong","red","red",885,"212.237.200.138",81.4224419603124,-89.638785738498,"Chrome","Windows","12x399","Desktop","Agent8911",942,0,0
"subj015",1,12,"word_reading_incong","blue","blue",789,"205.216.25.163",-65.7282941183075,-81.1956694442779,"Chrome","Windows","281x667","Desktop","Agent7886",5210,0,0
"subj015",1,13,"ink_naming_cong","yellow","yellow",1103,"205.166.34.10",-28.9480852056295,79.4393044151366,"Chrome","Windows","580x14","Desktop","Agent4783",2013,0,0
"subj015",1,14,"word_reading_cong","yellow","yellow",694,"195.157.67.130",-65.0462804082781,-77.8170281276107,"Chrome","Windows","627x492","Desktop","Agent9535",181,0,0
"subj015",1,15,"ink_naming_incong","yellow","yellow",1306,"192.181.141.42",-69.4142376724631,167.738870736212,"Chrome","Windows","67x573","Desktop","Agent9331",3685,0,0
"subj015",1,16,"ink_naming_incong","green","green",1088,"200.219.26.98",-56.393141951412,137.587091764435,"Chrome","Windows","709x560","Desktop","Agent6469",8769,0,0
"subj015",1,17,"ink_naming_incong","green","green",1071,"214.186.197.209",13.8063134998083,-11.6477825772017,"Chrome","Windows","1001x133","Desktop","Agent9915",7335,0,0
"subj015",1,18,"ink_naming_incong","green","green",1203,"207.157.220.98",-77.7603779872879,132.340257167816,"Chrome","Windows","360x245","Desktop","Agent9385",6092,0,0
"subj015",1,19,"ink_naming_incong","yellow","yellow",1050,"200.0.162.91",-62.8039931925014,5.92394929379225,"Chrome","Windows","265x681","Desktop","Agent4221",1943,0,0
"subj015",1,20,"ink_naming_incong","green","green",1287,"214.125.120.43",9.22764156013727,-50.8183991722763,"Chrome","Windows","168x422","Desktop","Agent1832",6820,0,0
"subj015",1,21,"word_reading_incong","blue","blue",847,"220.28.240.132",5.73304285760969,-57.1635650843382,"Chrome","Windows","747x705","Desktop","Agent5645",1615,0,0
"subj015",1,22,"word_reading_incong","red","yellow",575,"196.254.184.148",-78.6496502207592,143.830688288435,"Chrome","Windows","463x213","Desktop","Agent3653",8591,0,0
"subj015",1,23,"word_reading_incong","yellow","yellow",744,"197.5.121.126",-74.5685767522082,46.4483990706503,"Chrome","Windows","969x192","Desktop","Agent8438",6637,0,0
"subj015",1,24,"ink_naming_incong","red","red",1258,"218.114.207.70",51.2910512555391,59.9968047626317,"Chrome","Windows","501x387","Desktop","Agent1664",2894,0,0
"subj015",1,25,"ink_naming_incong","yellow","yellow",1163,"222.46.13.71",-76.8928143382072,166.292098676786,"Chrome","Windows","27x346","Desktop","Agent8192",8164,0,0
"subj015",1,26,"word_reading_incong","yellow","yellow",807,"217.151.248.172",-32.5644273217767,154.508057367057,"Chrome","Windows","175x436","Desktop","Agent6751",5911,0,0
"subj015",1,27,"ink_naming_incong","red","red",1246,"210.44.70.215",-15.7919131452218,20.0223499909043,"Chrome","Windows","834x307","Desktop","Agent2799",9065,0,0
"subj015",1,28,"ink_naming_cong","blue","blue",928,"211.133.115.119",25.7739729294553,-144.633802939206,"Chrome","Windows","734x598","Desktop","Agent9564",9441,0,0
"subj015",1,29,"word_reading_cong","yellow","green",681,"198.164.105.29",-56.634460799396,-14.8891099635512,"Chrome","Windows","967x238","Desktop","Agent4942",2636,0,0
"subj015",1,30,"word_reading_incong","yellow","yellow",726,"212.192.45.228",14.7582615818828,44.6919121686369,"Chrome","Windows","746x579","Desktop","Agent9331",7172,0,0
"subj015",1,31,"word_reading_cong","blue","blue",667,"198.160.186.14",-50.8026200719178,145.356918526813,"Chrome","Windows","223x687","Desktop","Agent6381",7986,0,0
"subj015",1,32,"ink_naming_cong","blue","blue",1169,"209.156.168.221",-3.52506088558584,-83.0894427839667,"Chrome","Windows","28x442","Desktop","Agent3571",7677,0,0
"subj015",1,33,"word_reading_cong","yellow","yellow",797,"198.239.118.248",86.2086642812937,-51.2255624402314,"Chrome","Windows","858x155","Desktop","Agent8385",9851,0,0
"subj015",1,34,"word_reading_incong","red","red",902,"198.131.181.68",68.0130071751773,56.5549891255796,"Chrome","Windows","168x182","Desktop","Agent2307",3694,0,0
"subj015",1,35,"word_reading_incong","red","yellow",695,"214.235.17.242",-72.7896823827177,36.5533374063671,"Chrome","Windows","128x8","Desktop","Agent3765",4779,0,0
"subj015",1,36,"ink_naming_cong","green","green",1091,"211.144.18.18",61.4416721183807,-102.737954445183,"Chrome","Windows","281x706","Desktop","Agent3397",943,0,0
"subj015",1,37,"ink_naming_cong","green","green",1068,"216.96.206.93",80.0756139541045,74.6528746001422,"Chrome","Windows","828x156","Desktop","Agent4164",4186,0,0
"subj015",1,38,"word_reading_cong","blue","blue",587,"199.191.213.162",-39.4650501385331,29.2708328180015,"Chrome","Windows","564x137","Desktop","Agent4708",8616,0,0
"subj015",1,39,"ink_naming_incong","yellow","yellow",975,"218.86.50.232",13.4301294526085,148.143141847104,"Chrome","Windows","523x258","Desktop","Agent7898",7591,0,0
"subj015",1,40,"word_reading_cong","green","green",695,"212.194.109.145",-72.6181725505739,92.0592812262475,"Chrome","Windows","522x480","Desktop","Agent1861",7165,0,0
"subj015",1,41,"word_reading_incong","red","red",610,"208.136.224.151",-1.6147492127493,133.977055437863,"Chrome","Windows","211x456","Desktop","Agent8802",4995,0,0
"subj015",1,42,"word_reading_cong","blue","blue",766,"212.9.100.31",86.071831388399,-18.0254453793168,"Chrome","Windows","504x597","Desktop","Agent7065",5702,0,0
"subj015",1,43,"ink_naming_incong","blue","blue",1026,"203.7.242.201",-80.6694758171216,-102.701840093359,"Chrome","Windows","825x759","Desktop","Agent9890",4479,0,0
