"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj006",1,1,"ink_naming_incong","red","red",1386,"206.19.84.82",15.8041198784485,-40.1522419787943,"Chrome","Windows","684x125","Desktop","Agent7884",6494,0,0
"subj006",1,2,"ink_naming_incong","yellow","yellow",1211,"202.159.125.105",79.3473072024062,4.78323706425726,"Chrome","Windows","874x521","Desktop","Agent4143",6146,0,0
"subj006",1,3,"ink_naming_incong","blue","blue",1153,"198.186.175.227",10.2158247353509,-90.5116446968168,"Chrome","Windows","217x403","Desktop","Agent3959",4166,0,0
"subj006",1,4,"ink_naming_cong","red","red",941,"202.215.209.108",86.8749964144081,-40.1110217068344,"Chrome","Windows","820x561","Desktop","Agent2070",4289,0,0
"subj006",1,5,"word_reading_cong","blue","blue",665,"208.0.20.201",55.9703106852248,-46.4220327883959,"Chrome","Windows","956x14","Desktop","Agent6157",5416,0,0
"subj006",1,6,"ink_naming_incong","red","red",980,"197.84.82.68",-81.8869598675519,141.110035004094,"Chrome","Windows","334x286","Desktop","Agent7367",7653,0,0
"subj006",1,7,"ink_naming_incong","yellow","yellow",1179,"202.209.1.202",-33.5511367069557,94.3922572396696,"Chrome","Windows","627x707","Desktop","Agent7591",9381,0,0
"subj006",1,8,"ink_naming_incong","red","red",1218,"203.156.156.142",26.0663371486589,178.682526592165,"Chrome","Windows","321x726","Desktop","Agent1195",3098,0,0
"subj006",1,9,"word_reading_incong","blue","blue",810,"196.183.182.195",43.3692174218595,48.679965371266,"Chrome","Windows","579x501","Desktop","Agent8421",7504,0,0
"subj006",1,10,"word_reading_incong","yellow","yellow",668,"210.71.43.55",61.5610202774405,-146.51108966209,"Chrome","Windows","500x185","Desktop","Agent4978",2574,0,0
"subj006",1,11,"ink_naming_incong","blue","blue",1133,"214.43.51.88",23.6680750362575,143.12932969071,"Chrome","Windows","931x205","Desktop","Agent8260",8575,0,0
