"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj017",1,1,"word_reading_incong","red","blue",783,"204.49.235.203",-6.51018056552857,-93.402030095458,"Chrome","Windows","650x428","Desktop","Agent9425",1078,0,0
"subj017",1,2,"word_reading_cong","green","green",4228,"208.136.253.223",-57.3069865722209,99.377054432407,"Chrome","Windows","740x684","Desktop","Agent7315",2462,0,0
"subj017",1,3,"word_reading_incong","yellow",NA,NA,"199.23.18.4",84.7355579165742,-141.990961628035,"Chrome","Windows","441x394","Desktop","Agent2807",6486,0,0
"subj017",1,4,"ink_naming_incong","blue","blue",1140,"221.116.60.139",-6.34921671822667,-33.8238727301359,"Chrome","Windows","651x597","Desktop","Agent2833",5966,0,0
"subj017",1,5,"word_reading_incong","blue","blue",857,"204.54.178.244",75.5714186606929,129.091894095764,"Chrome","Windows","765x106","Desktop","Agent9283",5485,0,0
"subj017",1,6,"ink_naming_incong","green","green",1068,"198.134.233.152",-41.137850987725,78.8710773456842,"Chrome","Windows","425x180","Desktop","Agent9042",8236,0,0
"subj017",1,7,"ink_naming_incong","yellow","yellow",1227,"194.240.247.136",3.16095042508096,-155.969284605235,"Chrome","Windows","745x726","Desktop","Agent9736",3469,0,0
"subj017",1,8,"word_reading_cong","yellow","yellow",776,"205.79.121.183",-30.8316357247531,-24.4172659702599,"Chrome","Windows","32x578","Desktop","Agent8735",495,0,0
"subj017",1,9,"ink_naming_incong","green","green",1261,"207.200.198.218",38.1946785002947,119.739190684631,"Chrome","Windows","42x301","Desktop","Agent9182",6729,0,0
"subj017",1,10,"word_reading_incong","blue","blue",628,"208.183.11.250",73.6320474743843,-60.0010520406067,"Chrome","Windows","1005x269","Desktop","Agent3375",4330,0,0
"subj017",1,11,"ink_naming_incong","red","red",1098,"193.113.184.183",-61.9941496336833,-95.0590201187879,"Chrome","Windows","630x641","Desktop","Agent4387",755,0,0
"subj017",1,12,"ink_naming_cong","blue","blue",929,"207.238.75.87",-47.3532825987786,-131.252607498318,"Chrome","Windows","328x746","Desktop","Agent3680",289,0,0
"subj017",1,13,"ink_naming_cong","yellow","yellow",921,"214.100.71.123",44.7474873717874,34.0527198091149,"Chrome","Windows","803x107","Desktop","Agent7844",9134,0,0
"subj017",1,14,"ink_naming_incong","yellow","yellow",1119,"193.114.103.54",56.7121998500079,-104.292257102206,"Chrome","Windows","283x750","Desktop","Agent3087",4996,0,0
"subj017",1,15,"word_reading_cong","blue","blue",543,"207.62.198.2",39.1584857180715,-14.4190428592265,"Chrome","Windows","57x68","Desktop","Agent8693",4718,0,0
"subj017",1,16,"word_reading_incong","yellow","yellow",478,"205.165.171.167",-65.2756650187075,90.0891787558794,"Chrome","Windows","123x179","Desktop","Agent9955",1336,0,0
"subj017",1,17,"ink_naming_cong","red","red",1100,"222.35.198.40",51.7366709047928,104.345759544522,"Chrome","Windows","423x710","Desktop","Agent1079",7596,0,0
"subj017",1,18,"word_reading_cong","yellow","yellow",831,"215.161.233.11",83.7612236570567,-14.542668890208,"Chrome","Windows","228x8","Desktop","Agent1353",456,0,0
"subj017",1,19,"word_reading_incong","yellow","yellow",707,"209.243.201.94",-74.7513923887163,-43.2352350465953,"Chrome","Windows","883x659","Desktop","Agent3532",3767,0,0
"subj017",1,20,"ink_naming_cong","red","red",886,"203.19.236.163",-79.9108629114926,147.8041972965,"Chrome","Windows","655x233","Desktop","Agent6596",1631,0,0
"subj017",1,21,"word_reading_incong","blue","blue",686,"221.118.75.214",-72.6688886387274,70.7079730276018,"Chrome","Windows","804x718","Desktop","Agent7199",656,0,0
"subj017",1,22,"word_reading_incong","green","green",642,"216.226.248.179",32.1222843183205,28.3367360103875,"Chrome","Windows","143x641","Desktop","Agent2230",3389,0,0
"subj017",1,23,"word_reading_incong","blue","blue",591,"214.159.221.158",71.5532378386706,-178.034051852301,"Chrome","Windows","494x155","Desktop","Agent7170",8357,0,0
"subj017",1,24,"ink_naming_cong","red","red",1147,"198.93.21.97",44.7739455616102,27.7321496699005,"Chrome","Windows","397x729","Desktop","Agent8087",8361,0,0
"subj017",1,25,"word_reading_cong","red","red",693,"208.21.242.194",-8.28081880230457,-2.59372763335705,"Chrome","Windows","452x322","Desktop","Agent4007",6954,0,0
"subj017",1,26,"word_reading_cong","red","red",646,"222.245.98.110",-30.4367307387292,131.255816174671,"Chrome","Windows","857x590","Desktop","Agent5678",3383,0,0
"subj017",1,27,"ink_naming_incong","yellow","yellow",1164,"210.128.221.221",-36.4099329756573,-2.562549803406,"Chrome","Windows","981x249","Desktop","Agent2114",7366,0,0
"subj017",1,28,"word_reading_incong","green","green",79,"218.204.71.134",28.7564787548035,147.451329650357,"Chrome","Windows","999x88","Desktop","Agent1217",7608,0,0
"subj017",1,29,"word_reading_cong","yellow","yellow",771,"220.190.104.84",43.6755309719592,76.6442967765033,"Chrome","Windows","716x586","Desktop","Agent2401",7654,0,0
"subj017",1,30,"word_reading_cong","red","red",685,"212.8.6.177",54.4978308677673,-67.21998735331,"Chrome","Windows","273x308","Desktop","Agent2267",4,0,0
"subj017",1,31,"word_reading_cong","red","red",699,"197.57.120.148",-23.8178635854274,74.8672025464475,"Chrome","Windows","889x349","Desktop","Agent3093",3664,0,0
"subj017",1,32,"ink_naming_cong","yellow","yellow",1100,"205.74.125.31",-63.0276491492987,-176.005422072485,"Chrome","Windows","88x615","Desktop","Agent2800",4150,0,0
"subj017",1,33,"word_reading_cong","blue",NA,NA,"207.42.98.59",-17.3197960853577,149.028071919456,"Chrome","Windows","110x10","Desktop","Agent2858",5080,0,0
"subj017",1,34,"word_reading_cong","blue","blue",878,"202.172.205.234",-49.8801015643403,-92.8791989106685,"Chrome","Windows","1023x102","Desktop","Agent8877",7229,0,0
"subj017",1,35,"ink_naming_incong","blue","blue",1236,"202.132.239.75",-85.3745164722204,34.3274158984423,"Chrome","Windows","598x624","Desktop","Agent4957",9007,0,0
"subj017",1,36,"ink_naming_incong","red","red",1170,"219.132.176.179",-46.9646384753287,135.387900983915,"Chrome","Windows","349x152","Desktop","Agent1626",5331,0,0
"subj017",1,37,"word_reading_cong","green","green",640,"201.91.81.44",11.5118706040084,-52.9944495297968,"Chrome","Windows","866x626","Desktop","Agent8713",3238,0,0
"subj017",1,38,"word_reading_cong","green","green",672,"212.31.131.211",20.1880020042881,179.486393015832,"Chrome","Windows","365x154","Desktop","Agent8355",3507,0,0
