"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj028",1,1,"ink_naming_cong","yellow","yellow",975,"208.238.149.14",75.7847759826109,175.558452643454,"Chrome","Windows","692x320","Desktop","Agent7717",5817,0,0
"subj028",1,2,"ink_naming_cong","red","red",978,"195.5.196.197",26.4942855667323,97.702853847295,"Chrome","Windows","534x616","Desktop","Agent8336",3367,0,0
"subj028",1,3,"ink_naming_incong","blue","blue",1048,"196.35.185.34",-13.2175948144868,176.795942327008,"Chrome","Windows","706x550","Desktop","Agent2881",2230,0,0
"subj028",1,4,"ink_naming_cong","yellow","yellow",1119,"213.41.113.214",-58.399068089202,99.3601104989648,"Chrome","Windows","71x216","Desktop","Agent3292",4534,0,0
"subj028",1,5,"word_reading_incong","red","red",851,"198.103.44.126",48.7698874762282,-165.249440465122,"Chrome","Windows","172x274","Desktop","Agent8291",3158,0,0
"subj028",1,6,"word_reading_incong","blue","blue",855,"206.59.168.31",-69.3409360432997,-36.2681900057942,"Chrome","Windows","27x150","Desktop","Agent1256",9951,0,0
"subj028",1,7,"ink_naming_cong","yellow","yellow",972,"209.176.250.164",15.3360954439268,-107.762903803959,"Chrome","Windows","905x6","Desktop","Agent8593",555,0,0
"subj028",1,8,"word_reading_cong","yellow","yellow",713,"222.244.8.190",-66.5796368988231,-13.5499991755933,"Chrome","Windows","338x724","Desktop","Agent9133",9293,0,0
"subj028",1,9,"word_reading_incong","red","red",649,"201.191.146.82",-4.54960169736296,31.7360914405435,"Chrome","Windows","306x666","Desktop","Agent1231",6578,0,0
"subj028",1,10,"ink_naming_incong","red","red",1181,"210.203.121.50",85.6634709751233,154.367493772879,"Chrome","Windows","208x554","Desktop","Agent7575",1176,0,0
"subj028",1,11,"word_reading_incong","red","red",852,"212.210.227.205",59.3131737643853,62.8299923054874,"Chrome","Windows","718x603","Desktop","Agent4994",6394,0,0
"subj028",1,12,"word_reading_cong","yellow","yellow",708,"205.202.67.136",24.5745098870248,-114.876417908818,"Chrome","Windows","820x198","Desktop","Agent1225",8099,0,0
"subj028",1,13,"ink_naming_incong","yellow","yellow",1198,"194.22.124.4",5.25380435865372,137.030833717436,"Chrome","Windows","733x489","Desktop","Agent6730",938,0,0
"subj028",1,14,"ink_naming_incong","blue","blue",1164,"209.164.154.32",47.0954607473686,116.999594382942,"Chrome","Windows","817x709","Desktop","Agent7803",3115,0,0
"subj028",1,15,"word_reading_cong","blue","blue",547,"195.62.206.108",-82.1822028513998,-63.1339355371892,"Chrome","Windows","547x148","Desktop","Agent7431",576,0,0
"subj028",1,16,"ink_naming_cong","green","green",1044,"197.204.130.35",10.7014859095216,109.036579085514,"Chrome","Windows","179x329","Desktop","Agent1811",2232,0,0
"subj028",1,17,"ink_naming_incong","green","green",116,"202.89.204.234",-34.9962944956496,-92.3202848061919,"Chrome","Windows","658x112","Desktop","Agent6940",3167,0,0
"subj028",1,18,"word_reading_incong","blue","blue",702,"211.54.215.131",84.6632829867303,40.0090457126498,"Chrome","Windows","398x539","Desktop","Agent7043",4456,0,0
"subj028",1,19,"ink_naming_incong","yellow","yellow",1198,"197.42.195.132",-58.3037765370682,-58.8543116301298,"Chrome","Windows","840x738","Desktop","Agent4565",88,0,0
"subj028",1,20,"ink_naming_cong","blue","blue",885,"194.85.118.135",-36.7502566426992,-38.889965582639,"Chrome","Windows","248x567","Desktop","Agent1720",4880,0,0
"subj028",1,21,"word_reading_incong","red","red",810,"199.87.71.82",5.25757340714335,128.009772710502,"Chrome","Windows","320x195","Desktop","Agent2673",8341,0,0
"subj028",1,22,"word_reading_incong","yellow","yellow",734,"207.47.225.208",-70.5493819713593,-45.0451728422195,"Chrome","Windows","915x509","Desktop","Agent1701",6807,0,0
"subj028",1,23,"word_reading_cong","blue",NA,NA,"200.206.208.173",2.28170332498848,35.3179958369583,"Chrome","Windows","106x538","Desktop","Agent3816",6184,0,0
"subj028",1,24,"word_reading_cong","red","red",547,"215.170.28.238",-86.4083759486675,68.839182285592,"Chrome","Windows","549x323","Desktop","Agent4489",1428,0,0
"subj028",1,25,"word_reading_cong","red","red",639,"199.136.117.205",43.7942134821787,124.153918297961,"Chrome","Windows","1003x138","Desktop","Agent9922",8567,0,0
"subj028",1,26,"ink_naming_cong","yellow","yellow",1072,"199.47.61.115",85.2371647395194,17.428587153554,"Chrome","Windows","337x21","Desktop","Agent1714",3070,0,0
"subj028",1,27,"word_reading_incong","green","green",819,"198.174.103.219",-82.6667110528797,-90.6371184345335,"Chrome","Windows","281x754","Desktop","Agent6855",4417,0,0
"subj028",1,28,"ink_naming_cong","blue","blue",982,"201.169.80.25",-38.3813194278628,23.3644706849009,"Chrome","Windows","282x174","Desktop","Agent6277",7103,0,0
"subj028",1,29,"word_reading_cong","red","red",616,"218.198.179.16",0.973411621525884,-131.876049516723,"Chrome","Windows","403x121","Desktop","Agent8597",9072,0,0
"subj028",1,30,"ink_naming_cong","blue","blue",938,"222.212.144.203",36.8876863270998,34.1409490630031,"Chrome","Windows","385x490","Desktop","Agent5549",1318,0,0
"subj028",1,31,"ink_naming_incong","yellow","yellow",1079,"215.150.68.208",7.78786294162273,-97.3037931136787,"Chrome","Windows","12x322","Desktop","Agent3208",6002,0,0
"subj028",1,32,"word_reading_incong","yellow","yellow",830,"197.45.100.169",-66.7897261166945,130.047621158883,"Chrome","Windows","615x72","Desktop","Agent8700",4059,0,0
"subj028",1,33,"ink_naming_cong","red","red",1057,"209.189.162.231",54.7522445116192,-177.227180767804,"Chrome","Windows","558x178","Desktop","Agent1739",9900,0,0
"subj028",1,34,"word_reading_incong","green","green",546,"214.9.227.65",-39.7707375185564,-58.6528701893985,"Chrome","Windows","37x532","Desktop","Agent5227",2492,0,0
"subj028",1,35,"ink_naming_cong","green","green",1032,"212.16.139.50",-53.3433984685689,-171.617175322026,"Chrome","Windows","197x206","Desktop","Agent3868",4011,0,0
"subj028",1,36,"word_reading_cong","green","green",634,"219.33.186.159",-12.9162885714322,46.9188537541777,"Chrome","Windows","639x672","Desktop","Agent7681",8027,0,0
"subj028",1,37,"word_reading_incong","yellow","yellow",602,"217.136.166.70",-77.6828305469826,-136.478096488863,"Chrome","Windows","719x489","Desktop","Agent4963",682,0,0
"subj028",1,38,"word_reading_incong","blue","blue",743,"199.221.166.82",-16.7266095103696,23.3738869987428,"Chrome","Windows","791x441","Desktop","Agent6023",4363,0,0
"subj028",1,39,"word_reading_incong","green","green",640,"206.48.210.255",-63.6964320251718,176.125185219571,"Chrome","Windows","73x547","Desktop","Agent7273",6283,0,0
"subj028",1,40,"ink_naming_incong","red","red",1236,"193.60.62.197",-15.6699302606285,-49.5593425165862,"Chrome","Windows","431x566","Desktop","Agent6301",4703,0,0
"subj028",1,41,"ink_naming_incong","yellow","yellow",1268,"216.217.162.141",23.2781154988334,35.7202704437077,"Chrome","Windows","774x574","Desktop","Agent4966",64,0,0
"subj028",1,42,"ink_naming_incong","red","red",1109,"200.202.111.48",37.6199767459184,1.7524023167789,"Chrome","Windows","248x482","Desktop","Agent6118",244,0,0
"subj028",1,43,"word_reading_incong","yellow","yellow",658,"199.143.122.196",-7.48524111695588,6.13960191607475,"Chrome","Windows","934x557","Desktop","Agent5134",2854,0,0
"subj028",1,44,"ink_naming_cong","yellow","green",976,"213.134.240.230",79.3728085560724,-113.632795521989,"Chrome","Windows","621x176","Desktop","Agent2509",9053,0,0
"subj028",1,45,"word_reading_incong","yellow","yellow",727,"217.65.24.162",85.3707730723545,-100.397926317528,"Chrome","Windows","4x461","Desktop","Agent1168",1199,0,0
"subj028",1,46,"word_reading_incong","blue","blue",849,"196.91.152.18",10.0952718872577,-27.3120662011206,"Chrome","Windows","904x257","Desktop","Agent5490",9433,0,0
"subj028",1,47,"ink_naming_incong","yellow","yellow",4936,"216.145.177.146",86.6377187334001,52.0660163741559,"Chrome","Windows","454x68","Desktop","Agent8259",7359,0,0
"subj028",1,48,"word_reading_cong","green","green",804,"219.173.98.40",-79.9246499687433,160.701185278594,"Chrome","Windows","88x23","Desktop","Agent1620",9069,0,0
"subj028",1,49,"word_reading_cong","red","red",667,"218.88.218.54",-56.2934119720012,34.7843166254461,"Chrome","Windows","494x696","Desktop","Agent8993",6058,0,0
"subj028",1,50,"word_reading_incong","red","red",863,"213.93.29.156",52.0679872110486,164.145967271179,"Chrome","Windows","308x624","Desktop","Agent6934",6797,0,0
"subj028",2,1,"word_reading_incong","yellow","yellow",610,"220.121.73.0",-33.1380859902129,-27.2644505370408,"Chrome","Windows","336x223","Desktop","Agent4500",2221,0,0
"subj028",2,2,"ink_naming_cong","blue","blue",1100,"217.144.38.70",-52.4140790523961,-40.3184230159968,"Chrome","Windows","576x34","Desktop","Agent2582",8976,0,0
"subj028",2,3,"ink_naming_cong","green","green",816,"223.90.120.233",7.27974208071828,132.378756925464,"Chrome","Windows","803x650","Desktop","Agent2176",8581,0,0
"subj028",2,4,"word_reading_cong","blue","blue",242,"223.197.176.2",-25.5436449777335,-111.589884823188,"Chrome","Windows","556x287","Desktop","Agent2457",6576,0,0
"subj028",2,5,"ink_naming_incong","yellow","yellow",1027,"202.144.8.114",66.924618515186,-113.010279620066,"Chrome","Windows","190x115","Desktop","Agent9571",409,0,0
"subj028",2,6,"ink_naming_incong","red","red",933,"195.117.29.201",61.348582576029,-74.5641735289246,"Chrome","Windows","61x581","Desktop","Agent4996",6940,0,0
"subj028",2,7,"word_reading_cong","green","green",710,"201.216.51.171",60.7322347490117,-65.1568028423935,"Chrome","Windows","573x360","Desktop","Agent2299",9577,0,0
"subj028",2,8,"word_reading_cong","yellow",NA,NA,"216.26.157.166",-28.0065259896219,12.7332806959748,"Chrome","Windows","861x712","Desktop","Agent4159",7030,0,0
"subj028",2,9,"word_reading_incong","blue","blue",838,"197.143.61.72",68.1351380422711,-173.689863150939,"Chrome","Windows","232x92","Desktop","Agent5836",7107,0,0
"subj028",2,10,"ink_naming_cong","red","red",994,"201.185.106.246",-20.9036638587713,129.15003717877,"Chrome","Windows","866x91","Desktop","Agent3972",1160,0,0
"subj028",2,11,"ink_naming_cong","yellow","yellow",1165,"215.139.107.21",87.3660738905892,130.347152492031,"Chrome","Windows","43x9","Desktop","Agent4090",9283,0,0
"subj028",2,12,"word_reading_cong","green","green",718,"222.155.60.189",-69.3303532619029,-38.4980438835919,"Chrome","Windows","698x192","Desktop","Agent7990",2244,0,0
"subj028",2,13,"ink_naming_cong","red","red",916,"208.86.213.41",-28.9952003024518,168.015084285289,"Chrome","Windows","590x451","Desktop","Agent3762",65,0,0
"subj028",2,14,"ink_naming_incong","green","green",1164,"208.162.31.162",-0.919350106269121,-30.8850788231939,"Chrome","Windows","450x417","Desktop","Agent9676",6876,0,0
"subj028",2,15,"ink_naming_incong","yellow","red",1141,"201.211.65.146",87.5683019310236,-62.9756982810795,"Chrome","Windows","39x670","Desktop","Agent7879",1674,0,0
"subj028",2,16,"word_reading_cong","yellow","yellow",712,"202.164.192.93",11.8885688390583,-11.8719040229917,"Chrome","Windows","643x608","Desktop","Agent2698",4406,0,0
"subj028",2,17,"ink_naming_incong","blue","blue",1165,"201.108.45.133",26.4529986167327,-34.3332619406283,"Chrome","Windows","21x499","Desktop","Agent1697",3663,0,0
"subj028",2,18,"word_reading_cong","blue","blue",654,"213.159.196.244",-87.0127742411569,-146.707517299801,"Chrome","Windows","570x187","Desktop","Agent4014",5173,0,0
"subj028",2,19,"ink_naming_cong","blue","blue",1046,"221.18.31.25",24.3183281645179,63.3369489200413,"Chrome","Windows","697x566","Desktop","Agent9777",3991,0,0
"subj028",2,20,"word_reading_cong","red","red",727,"206.188.114.201",72.8615396423265,67.8842812590301,"Chrome","Windows","876x549","Desktop","Agent5950",2670,0,0
"subj028",2,21,"word_reading_cong","blue","blue",702,"203.45.41.5",1.83435566257685,56.0187105182558,"Chrome","Windows","196x131","Desktop","Agent4748",7534,0,0
"subj028",2,22,"word_reading_incong","green","green",591,"199.4.187.164",16.5249609528109,72.2863104566932,"Chrome","Windows","450x202","Desktop","Agent4517",4233,0,0
"subj028",2,23,"ink_naming_cong","red","red",1078,"210.70.240.252",25.5988479824737,-23.9407012984157,"Chrome","Windows","296x172","Desktop","Agent7436",1777,0,0
"subj028",2,24,"ink_naming_incong","green","green",1083,"211.2.191.149",-64.2220422299579,84.7994208522141,"Chrome","Windows","356x486","Desktop","Agent1981",3738,0,0
"subj028",2,25,"ink_naming_cong","yellow","yellow",898,"223.134.163.36",-20.0130948191509,38.3211323339492,"Chrome","Windows","490x688","Desktop","Agent9461",3673,0,0
"subj028",2,26,"word_reading_incong","blue","blue",815,"214.47.34.11",-72.6162906456739,31.7772046755999,"Chrome","Windows","879x211","Desktop","Agent3770",6564,0,0
