"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj025",1,1,"word_reading_incong","blue","blue",783,"214.73.15.88",-79.9087620293722,-107.752647958696,"Chrome","Windows","427x457","Desktop","Agent1882",4723,0,0
"subj025",1,2,"ink_naming_incong","green","green",1271,"210.16.68.26",1.27389698289335,-178.737524282187,"Chrome","Windows","442x654","Desktop","Agent6526",1053,0,0
"subj025",1,3,"ink_naming_cong","yellow","yellow",928,"211.112.81.83",79.6250800369307,172.689246218652,"Chrome","Windows","1016x15","Desktop","Agent2192",3247,0,0
"subj025",1,4,"ink_naming_incong","red","red",1242,"210.1.175.147",58.8032038137317,42.7433830406517,"Chrome","Windows","943x92","Desktop","Agent2688",1899,0,0
"subj025",1,5,"word_reading_incong","red","green",652,"215.66.121.230",-56.1873649293557,44.1953693144023,"Chrome","Windows","381x92","Desktop","Agent4766",1340,0,0
"subj025",1,6,"ink_naming_incong","blue","blue",19,"219.224.168.71",11.4047756139189,23.9266238920391,"Chrome","Windows","914x762","Desktop","Agent4707",9870,0,0
"subj025",1,7,"word_reading_cong","green","green",593,"208.124.164.130",38.8976700603962,9.93287569843233,"Chrome","Windows","467x502","Desktop","Agent1840",4656,0,0
"subj025",1,8,"word_reading_cong","yellow","yellow",262,"220.247.99.214",-84.0496197994798,18.7642977386713,"Chrome","Windows","386x514","Desktop","Agent7827",4400,0,0
"subj025",1,9,"word_reading_cong","yellow","yellow",779,"205.13.167.147",-41.2566374335438,38.2748084049672,"Chrome","Windows","798x301","Desktop","Agent5533",8600,0,0
"subj025",1,10,"ink_naming_incong","green","green",899,"214.32.159.242",-11.3093648292124,161.322410702705,"Chrome","Windows","280x148","Desktop","Agent4943",3168,0,0
"subj025",1,11,"word_reading_cong","blue","blue",605,"211.10.127.132",85.898605696857,-47.4366347584873,"Chrome","Windows","225x69","Desktop","Agent3769",6460,0,0
"subj025",1,12,"ink_naming_incong","green",NA,NA,"199.116.9.221",-52.7422960661352,-131.67271502316,"Chrome","Windows","125x631","Desktop","Agent5869",8427,0,0
"subj025",1,13,"word_reading_cong","green","green",552,"195.27.100.187",8.71112953405827,-101.801960729063,"Chrome","Windows","285x225","Desktop","Agent3836",4620,0,0
"subj025",1,14,"word_reading_incong","blue","blue",850,"221.12.20.129",87.6820334186777,146.849612519145,"Chrome","Windows","483x310","Desktop","Agent8738",3245,0,0
"subj025",1,15,"ink_naming_cong","green","green",1023,"221.16.190.253",-25.0816010730341,-40.6072676740587,"Chrome","Windows","374x159","Desktop","Agent5832",2347,0,0
"subj025",1,16,"word_reading_cong","green","green",599,"211.233.40.84",53.3463452942669,49.938495978713,"Chrome","Windows","805x151","Desktop","Agent6901",1665,0,0
"subj025",1,17,"word_reading_cong","blue","blue",571,"219.91.41.40",37.6500264974311,-21.9443921372294,"Chrome","Windows","683x428","Desktop","Agent2465",980,0,0
"subj025",1,18,"word_reading_cong","yellow","yellow",718,"218.13.0.66",19.3093509832397,-70.8030668087304,"Chrome","Windows","925x10","Desktop","Agent9990",6460,0,0
"subj025",1,19,"word_reading_cong","yellow","green",515,"208.214.97.53",-22.4264880269766,-74.7256746981293,"Chrome","Windows","79x397","Desktop","Agent5816",9142,0,0
"subj025",1,20,"ink_naming_cong","yellow","yellow",1046,"195.88.98.233",84.730237419717,104.592529563233,"Chrome","Windows","640x103","Desktop","Agent5292",8599,0,0
"subj025",1,21,"ink_naming_cong","yellow","yellow",1102,"213.241.5.191",89.5385423256084,-51.2011067289859,"Chrome","Windows","412x539","Desktop","Agent8317",1966,0,0
"subj025",1,22,"word_reading_incong","yellow","yellow",682,"218.230.118.37",-4.52867246232927,-177.844640454277,"Chrome","Windows","104x170","Desktop","Agent8770",40,0,0
"subj025",1,23,"word_reading_incong","blue","blue",683,"200.25.23.180",-53.5169244837016,56.3703562505543,"Chrome","Windows","395x197","Desktop","Agent6357",6655,0,0
"subj025",1,24,"ink_naming_incong","red","red",1169,"220.245.101.122",50.2306582778692,-43.6316382978112,"Chrome","Windows","627x443","Desktop","Agent5686",1850,0,0
"subj025",1,25,"ink_naming_cong","yellow","yellow",1045,"214.247.240.211",-25.3569993982092,72.2412194218487,"Chrome","Windows","883x495","Desktop","Agent4253",8707,0,0
"subj025",1,26,"ink_naming_incong","red","red",1225,"208.22.3.214",49.8409983096644,-136.692710760981,"Chrome","Windows","978x339","Desktop","Agent9594",4789,0,0
"subj025",1,27,"ink_naming_incong","green","red",1197,"207.112.143.15",-71.9166137091815,57.7443503402174,"Chrome","Windows","446x90","Desktop","Agent2356",9416,0,0
"subj025",1,28,"word_reading_cong","yellow","yellow",627,"221.19.76.32",56.1044019833207,76.6162771638483,"Chrome","Windows","97x417","Desktop","Agent6279",7614,0,0
"subj025",1,29,"ink_naming_cong","yellow","yellow",1045,"193.54.137.197",34.7947309724987,116.566539332271,"Chrome","Windows","299x542","Desktop","Agent9620",7511,0,0
"subj025",1,30,"ink_naming_cong","blue","blue",1003,"204.73.155.180",-31.0718646319583,-16.3159742485732,"Chrome","Windows","141x524","Desktop","Agent1437",5846,0,0
"subj025",1,31,"ink_naming_incong","blue","blue",1196,"216.106.138.181",-20.7542765513062,-178.53282764554,"Chrome","Windows","657x702","Desktop","Agent2127",2390,0,0
"subj025",1,32,"ink_naming_cong","blue","blue",967,"219.32.144.66",7.01831768732518,16.3457846548408,"Chrome","Windows","523x506","Desktop","Agent1359",9769,0,0
"subj025",1,33,"ink_naming_incong","blue","blue",1135,"201.37.129.207",2.76835951488465,-12.4379076249897,"Chrome","Windows","833x158","Desktop","Agent6213",7268,0,0
"subj025",1,34,"ink_naming_incong","yellow","yellow",1066,"198.2.89.160",83.6494300654158,170.631045503542,"Chrome","Windows","191x489","Desktop","Agent5986",5939,0,0
"subj025",1,35,"ink_naming_incong","red","red",1083,"218.240.93.156",60.0503674289212,28.8141352683306,"Chrome","Windows","190x661","Desktop","Agent5850",6797,0,0
"subj025",1,36,"ink_naming_cong","blue","blue",1064,"221.39.226.2",25.6658251723275,148.580991430208,"Chrome","Windows","440x79","Desktop","Agent8739",5498,0,0
"subj025",1,37,"word_reading_incong","blue","blue",732,"211.1.209.114",12.931718355976,73.1833174265921,"Chrome","Windows","126x340","Desktop","Agent9985",3440,0,0
"subj025",1,38,"word_reading_incong","blue","blue",829,"194.23.61.183",57.1385271241888,57.5295134447515,"Chrome","Windows","218x744","Desktop","Agent7538",2917,0,0
"subj025",1,39,"ink_naming_cong","red","red",1089,"205.230.189.177",-65.5001877900213,113.86105905287,"Chrome","Windows","552x592","Desktop","Agent4429",6230,0,0
"subj025",1,40,"ink_naming_cong","blue","blue",1071,"194.34.44.245",-7.48696171212941,-57.6078756060451,"Chrome","Windows","578x119","Desktop","Agent4817",9094,0,0
"subj025",1,41,"word_reading_incong","blue","blue",659,"215.212.44.5",-65.012302226387,97.6092134043574,"Chrome","Windows","450x566","Desktop","Agent5025",3068,0,0
"subj025",1,42,"word_reading_incong","yellow","yellow",831,"207.77.29.194",-64.4233421422541,-37.0298097934574,"Chrome","Windows","223x522","Desktop","Agent1938",8912,0,0
"subj025",1,43,"word_reading_incong","red","red",749,"194.162.111.13",4.99331006314605,65.0802493281662,"Chrome","Windows","893x591","Desktop","Agent8893",3525,0,0
"subj025",1,44,"word_reading_cong","green","green",701,"193.231.139.93",-63.8680086191744,51.9889306090772,"Chrome","Windows","957x539","Desktop","Agent7858",9855,0,0
"subj025",1,45,"ink_naming_cong","yellow","yellow",1039,"207.2.91.240",51.8720121122897,123.074382897466,"Chrome","Windows","966x204","Desktop","Agent1329",5259,0,0
"subj025",1,46,"ink_naming_cong","red","red",1030,"214.200.172.158",20.0886502163485,158.990076323971,"Chrome","Windows","314x553","Desktop","Agent4901",5028,0,0
"subj025",1,47,"ink_naming_incong","yellow","yellow",1106,"216.121.17.57",5.48664181027561,-38.6688922997564,"Chrome","Windows","958x390","Desktop","Agent7046",4691,0,0
"subj025",1,48,"ink_naming_cong","green","green",842,"211.31.81.128",34.0289870370179,91.6879576351494,"Chrome","Windows","685x524","Desktop","Agent4903",3133,0,0
"subj025",1,49,"ink_naming_incong","green","green",1224,"213.201.41.175",59.2642625514418,133.906766474247,"Chrome","Windows","332x660","Desktop","Agent8493",4063,0,0
"subj025",1,50,"word_reading_incong","red","red",585,"215.36.233.207",-54.7178222145885,-93.6306981369853,"Chrome","Windows","293x696","Desktop","Agent3312",6554,0,0
"subj025",2,1,"ink_naming_incong","green","green",1188,"198.0.17.48",15.7204393995926,-123.791407356039,"Chrome","Windows","824x43","Desktop","Agent8437",4864,0,0
"subj025",2,2,"ink_naming_incong","yellow","yellow",1090,"192.175.30.5",-17.7595168445259,-11.1380317714065,"Chrome","Windows","748x554","Desktop","Agent8908",1094,0,0
"subj025",2,3,"word_reading_cong","red","red",655,"212.99.39.146",-81.0315876966342,-134.522438133135,"Chrome","Windows","886x419","Desktop","Agent4280",1740,0,0
"subj025",2,4,"word_reading_cong","blue","blue",775,"212.214.31.192",6.1017474392429,-136.464131819084,"Chrome","Windows","442x714","Desktop","Agent2289",1278,0,0
"subj025",2,5,"word_reading_incong","red","red",744,"193.18.2.101",42.2043637605384,106.018041092902,"Chrome","Windows","658x383","Desktop","Agent2028",3555,0,0
"subj025",2,6,"ink_naming_cong","red","red",1072,"206.243.196.205",-73.7566152540967,89.0616820659488,"Chrome","Windows","1005x529","Desktop","Agent2079",3915,0,0
"subj025",2,7,"word_reading_cong","red","red",764,"222.156.62.65",-27.8008707147092,-111.376364137977,"Chrome","Windows","994x99","Desktop","Agent7962",9819,0,0
"subj025",2,8,"ink_naming_cong","blue","blue",924,"199.217.254.80",-30.0431515602395,-73.6978714819998,"Chrome","Windows","3x692","Desktop","Agent6795",9857,0,0
"subj025",2,9,"word_reading_incong","blue","blue",822,"203.119.21.18",-65.3112293500453,-75.0125860702246,"Chrome","Windows","56x585","Desktop","Agent9238",7734,0,0
