"subject","block","trial","condition","correct_response","participant_response","rt","ip_address","latitude","longitude","browser_version","operating_system","screen_resolution","device_type","user_agent","session_id","click_rate","error_count"
"subj007",1,1,"word_reading_cong","blue","blue",825,"212.60.78.76",22.9997729463503,161.61561453715,"Chrome","Windows","437x247","Desktop","Agent6134",3198,0,0
"subj007",1,2,"word_reading_incong","blue","blue",723,"220.40.228.46",-85.42684905231,-167.14409080334,"Chrome","Windows","561x595","Desktop","Agent7249",2264,0,0
"subj007",1,3,"ink_naming_cong","red","red",1130,"219.127.126.171",51.6661716811359,154.560040254146,"Chrome","Windows","634x594","Desktop","Agent6621",2891,0,0
"subj007",1,4,"word_reading_incong","red","red",730,"214.50.168.36",-59.9229381512851,-94.0864234697074,"Chrome","Windows","409x42","Desktop","Agent5326",780,0,0
"subj007",1,5,"ink_naming_cong","green","green",1029,"204.233.31.59",78.0274953274056,-78.7577021308243,"Chrome","Windows","858x531","Desktop","Agent4894",9018,0,0
"subj007",1,6,"ink_naming_incong","blue","blue",1252,"198.106.51.95",-34.1115576261654,160.124220661819,"Chrome","Windows","410x697","Desktop","Agent1856",2567,0,0
"subj007",1,7,"ink_naming_incong","red","red",1356,"201.242.103.234",-54.9547183094546,-92.8078769613057,"Chrome","Windows","709x246","Desktop","Agent7992",5735,0,0
"subj007",1,8,"ink_naming_incong","green","green",1238,"194.7.219.99",-73.8973434688523,-58.1703168153763,"Chrome","Windows","383x422","Desktop","Agent2728",3626,0,0
"subj007",1,9,"ink_naming_cong","green","green",1040,"208.63.90.247",-56.87014864292,-97.3085419647396,"Chrome","Windows","1012x574","Desktop","Agent7822",8713,0,0
"subj007",1,10,"ink_naming_incong","blue","blue",1262,"220.69.2.33",-2.9929144307971,-20.8840164262801,"Chrome","Windows","642x37","Desktop","Agent3755",2409,0,0
"subj007",1,11,"ink_naming_cong","green","green",894,"216.214.84.223",-38.5120964376256,-49.7565776668489,"Chrome","Windows","289x109","Desktop","Agent4708",6630,0,0
"subj007",1,12,"word_reading_cong","red","red",768,"215.106.252.95",-8.93505199346691,108.07121342048,"Chrome","Windows","141x231","Desktop","Agent4259",6853,0,0
